dataset_id,AutoCorrelation,CfsSubsetEval_DecisionStumpAUC,CfsSubsetEval_DecisionStumpErrRate,CfsSubsetEval_DecisionStumpKappa,CfsSubsetEval_NaiveBayesAUC,CfsSubsetEval_NaiveBayesErrRate,CfsSubsetEval_NaiveBayesKappa,CfsSubsetEval_kNN1NAUC,CfsSubsetEval_kNN1NErrRate,CfsSubsetEval_kNN1NKappa,ClassEntropy,DecisionStumpAUC,DecisionStumpErrRate,DecisionStumpKappa,Dimensionality,EquivalentNumberOfAtts,J48.00001.AUC,J48.00001.ErrRate,J48.00001.Kappa,J48.0001.AUC,J48.0001.ErrRate,J48.0001.Kappa,J48.001.AUC,J48.001.ErrRate,J48.001.Kappa,MajorityClassPercentage,MajorityClassSize,MaxAttributeEntropy,MaxKurtosisOfNumericAtts,MaxMeansOfNumericAtts,MaxMutualInformation,MaxNominalAttDistinctValues,MaxSkewnessOfNumericAtts,MaxStdDevOfNumericAtts,MeanAttributeEntropy,MeanKurtosisOfNumericAtts,MeanMeansOfNumericAtts,MeanMutualInformation,MeanNoiseToSignalRatio,MeanNominalAttDistinctValues,MeanSkewnessOfNumericAtts,MeanStdDevOfNumericAtts,MinAttributeEntropy,MinKurtosisOfNumericAtts,MinMeansOfNumericAtts,MinMutualInformation,MinNominalAttDistinctValues,MinSkewnessOfNumericAtts,MinStdDevOfNumericAtts,MinorityClassPercentage,MinorityClassSize,NaiveBayesAUC,NaiveBayesErrRate,NaiveBayesKappa,NumberOfBinaryFeatures,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,PercentageOfBinaryFeatures,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,PercentageOfNumericFeatures,PercentageOfSymbolicFeatures,Quartile1AttributeEntropy,Quartile1KurtosisOfNumericAtts,Quartile1MeansOfNumericAtts,Quartile1MutualInformation,Quartile1SkewnessOfNumericAtts,Quartile1StdDevOfNumericAtts,Quartile2AttributeEntropy,Quartile2KurtosisOfNumericAtts,Quartile2MeansOfNumericAtts,Quartile2MutualInformation,Quartile2SkewnessOfNumericAtts,Quartile2StdDevOfNumericAtts,Quartile3AttributeEntropy,Quartile3KurtosisOfNumericAtts,Quartile3MeansOfNumericAtts,Quartile3MutualInformation,Quartile3SkewnessOfNumericAtts,Quartile3StdDevOfNumericAtts,REPTreeDepth1AUC,REPTreeDepth1ErrRate,REPTreeDepth1Kappa,REPTreeDepth2AUC,REPTreeDepth2ErrRate,REPTreeDepth2Kappa,REPTreeDepth3AUC,REPTreeDepth3ErrRate,REPTreeDepth3Kappa,RandomTreeDepth1AUC,RandomTreeDepth1ErrRate,RandomTreeDepth1Kappa,RandomTreeDepth2AUC,RandomTreeDepth2ErrRate,RandomTreeDepth2Kappa,RandomTreeDepth3AUC,RandomTreeDepth3ErrRate,RandomTreeDepth3Kappa,StdvNominalAttDistinctValues,kNN1NAUC,kNN1NErrRate,kNN1NKappa
704,-31980.068868381262,,,,,,,,,,,,,,0.006042296072507553,,,,,,,,,,,,,,0.84815320799198,72812.14970694864,,,0.2893163006824214,29961.281692331773,,0.25313856188835593,18220.653410889492,,,,0.1438542833749446,7497.0313728671945,,-0.06238625637871964,9.887109843051359,,,-0.1791992375161924,4.256055728402818,,,,,,0.0,0.0,4.0,662.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,,-0.019450398999671603,11.969437264188066,,-0.076530212133002,4.9061823044910735,,0.11339364797008167,30.28841338313444,,0.23265003516677468,11.29387170430034,,0.6654724366946577,54619.702382021154,,0.2754430270910611,22474.89406459279,,,,,,,,,,,,,,,,,,,,,,
3383,0.7076541353383461,,,,,,,,,,,,,,7.656716417910448,,,,,,,,,,,,,,134.00000000000063,5.031432835820896,,,11.575836902790225,0.631847993137985,,46.44541533260451,0.07218210411357844,,,,5.890414096144921,0.17837974122748582,,-2.0305343511450396,0.0,,,-8.091810010784622,0.0,,,,,,0.0,0.0,1026.0,134.0,0.0,0.0,1025.0,1.0,0.0,0.0,0.0,99.90253411306043,0.09746588693957114,,7.596187668393622,0.00746268656716417,,3.07945181410001,0.08638684255813617,,29.67082821758386,0.02238805970149257,,5.5882157080543875,0.14849712842203527,,64.43904958677676,0.06716417910447763,,8.091810010784611,0.25124535514443264,,,,,,,,,,,,,,,,,,,,,,
520,0.8641975308641975,,,,,,,,,,,,,,0.03680981595092025,,,,,,,,,,,,,,11.01472237090259,227.38036809815975,,2.0,2.979201640064418,208.60249896674853,,3.856199235720351,62.16474857361969,,,2.0,1.390455078600265,59.58867614608678,,-0.537132731572389,2.509202453987725,,2.0,-0.527554488755386,1.207605254054324,,,,,,2.0,0.0,6.0,163.0,0.0,0.0,4.0,2.0,33.33333333333333,0.0,0.0,66.66666666666666,33.33333333333333,,-0.25055207402634205,3.098797653374229,,-0.12952082753438948,1.8965447490660718,,2.4736036517756013,9.384711871165642,,1.555086581546014,14.272300181772145,,9.345546129411794,174.01073619631921,,2.7457994817891707,162.59718350742213,,,,,,,,,,,,,,,,,,,0.0,,,
42256,0.9975580750019821,,,,,,,,,,,,,,0.00026956101196375196,,,,,,,,,,,99.87631906509898,125975.0,,,,,,,,,,,,,,,,,,,,,,,0.1236809349010156,156.0,,,,1.0,2.0,34.0,126131.0,96.0,99.0,32.0,1.0,2.941176470588235,0.07611134455447115,0.0023085242374058343,94.11764705882352,2.941176470588235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44019,0.42179305046726,,,,,,,,,,,,,,0.0007402951927080924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16.0,21613.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,93.75,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,-2423.0696202531644,,,,,,,,,,,,,,0.10062893081761007,,,,,,,,,,,,,,5.725789793104717,11445.729559748428,,6.0,2.710241699665932,5877.856195222506,,1.1626230761417424,1321.4923773584906,,,6.0,0.7271725574658744,464.0198869430487,,-0.8231753950890628,3.2363522012578616,,6.0,-0.992743213391146,0.2673356289537193,,,,,,0.0,0.0,16.0,159.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,93.75,6.25,,0.1534114134260296,26.52201257861635,,0.1564223566528122,2.2687613543418763,,0.6367833110658783,95.83647798742138,,0.7820354281095616,6.459188875537101,,2.531782382097072,172.41383647798742,,0.9168458236032813,35.651284566404826,,,,,,,,,,,,,,,,,,,0.0,,,
626,-0.1268945054000004,,,,,,,,,,,,,,0.102,,,,,,,,,,,,,,0.40050970922613294,1.7419999434054034e-09,,,0.8257288820876238,1.0000000017470212,,-1.1476523531550133,1.186981529806204e-10,,,,0.015138124990254022,0.9999999999150228,,-1.3001476274593584,-1.673260040746527e-09,,,-0.58640368879216,0.9999999975311687,,,,,,0.0,0.0,51.0,500.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,100.0,0.0,,-1.2376778640025938,-3.560000560454135e-10,,-0.04717388403461312,0.9999999993775461,,-1.2049058684259772,6.987996861718138e-11,,0.011985080789238782,1.0000000000834948,,-1.1491180708665234,4.622000169263174e-10,,0.061014959488354,1.0000000007198544,,,,,,,,,,,,,,,,,,,,,,
3046,0.06006103286384899,,,,,,,,,,,,,,2.4028103044496487,,,,,,,,,,,,,,427.00000000000006,6.014957845433255,,,20.663978319772436,1.267932048246275,,63.38625053742317,0.06862029359684697,,,,6.744117899483579,0.18539459151665538,,-1.9508628888265613,0.0,,,-10.222182978683755,0.0,,,,,,0.0,0.0,1026.0,427.0,0.0,0.0,1025.0,1.0,0.0,0.0,0.0,99.90253411306043,0.09746588693957114,,13.797197646657363,0.011709601873536316,,3.8673268028977117,0.10770168318169285,,38.18365135460988,0.023419203747072632,,6.324936777242531,0.15140816304586485,,81.37562421953396,0.05386416861826706,,9.110131258886568,0.22601427165135865,,,,,,,,,,,,,,,,,,,,,,
1427,0.2719287469287469,,,,,,,,,,,,,,0.003808236847762661,,,,,,,,,,,,,,32560.999999999633,0.9533490986149072,,,180.44666802126395,0.855162977129646,,680.0317976413147,0.10766714781487055,,,,14.603043014486573,0.20140326861351518,,-1.9829784152255496,-0.5183808851079517,,,-4.29958718540133,0.005541803630765236,,,,,,0.0,0.0,124.0,32561.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,100.0,0.0,,2.8579696085307402,0.001988575289456741,,1.8327813223809635,0.045565940086993176,,27.80996626747978,0.030312336844691472,,5.459693747565007,0.17199386280385565,,475.8534289277236,0.15084763981450217,,21.858205836184524,0.3360245118934966,,,,,,,,,,,,,,,,,,,,,,
1426,0.26934889434889436,,,,,,,,,,,,,,0.003808236847762661,,,,,,,,,,,,,,32560.9999999998,0.9533490986149072,,,180.44666802124897,0.8551629771296456,,680.0317976412979,0.10766714781487052,,,,14.603043014486428,0.20140326861351496,,-1.982978415225553,-0.5183808851079521,,,-4.299587185401511,0.0055418036307653545,,,,,,0.0,0.0,124.0,32561.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,100.0,0.0,,2.8579696085308157,0.001988575289456733,,1.832781322380947,0.045565940086991746,,27.809966267479844,0.030312336844691586,,5.459693747564986,0.1719938628038559,,475.8534289277153,0.1508476398145022,,21.8582058361858,0.33602451189349725,,,,,,,,,,,,,,,,,,,,,,
