task_id,architecture,learning_rate,optimizer,batch_size,weight_decay,momentum,dropout_rate,alpha,label_smoothing,grad_clip,test_accuracy,train_accuracy,test_loss,training_time_sec,epochs,is_synthetic
KMNIST,MobileNetV2,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.62,0.7572,1.1329429633915424,327.7199501991272,3,Real
EMNIST_Balanced,ResNet18,0.01,Adam,64,0.0001,,,1.0,,,0.63,0.7148,1.305268745869398,285.07334780693054,3,Real
EMNIST_Balanced,ResNet18,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.614,0.6394,1.5761708617210388,280.18265438079834,3,Real
EMNIST_Balanced,EfficientNetB0,0.01,Adam,64,0.0001,,0.2,1.0,,,0.643,0.7108,1.2951742969453337,357.1152307987213,3,Real
EMNIST_Balanced,EfficientNetB0,0.001,Adam,64,0.0001,,0.2,1.0,0.1,1.0,0.627,0.6424,1.4522952288389206,359.4876999855041,3,Real
EMNIST_Balanced,MobileNetV2,0.01,Adam,64,0.0001,,,1.0,,,0.601,0.6628,1.6742964163422585,320.0507740974426,3,Real
EMNIST_Balanced,MobileNetV2,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.64,0.6672,1.3374969512224195,317.49031352996826,3,Real
EMNIST_Digits,ResNet18,0.01,Adam,64,0.0001,,,1.0,,,0.93,0.9396,0.2268844177015125,273.29955315589905,3,Real
EMNIST_Digits,ResNet18,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.917,0.9054,0.3880333807319402,273.19415640830994,3,Real
EMNIST_Digits,EfficientNetB0,0.01,Adam,64,0.0001,,0.2,1.0,,,0.944,0.9068,0.1912528071552515,342.0077369213104,3,Real
EMNIST_Digits,EfficientNetB0,0.001,Adam,64,0.0001,,0.2,1.0,0.1,1.0,0.922,0.8826,0.338738389313221,330.44723534584045,3,Real
EMNIST_Digits,MobileNetV2,0.01,Adam,64,0.0001,,,1.0,,,0.874,0.9154,0.402414889074862,298.33295798301697,3,Real
EMNIST_Digits,MobileNetV2,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.924,0.9084,0.335552429780364,303.8977906703949,3,Real
EMNIST_MNIST,ResNet18,0.01,Adam,64,0.0001,,,1.0,,,0.906,0.9428,0.3043445739895105,286.9263150691986,3,Real
EMNIST_MNIST,ResNet18,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.912,0.912,0.3700868804007768,286.73965787887573,3,Real
EMNIST_MNIST,EfficientNetB0,0.01,Adam,64,0.0001,,0.2,1.0,,,0.927,0.9126,0.2337910723872482,363.9471900463104,3,Real
EMNIST_MNIST,EfficientNetB0,0.001,Adam,64,0.0001,,0.2,1.0,0.1,1.0,0.929,0.8822,0.3430284298956394,364.69425892829895,3,Real
EMNIST_MNIST,MobileNetV2,0.01,Adam,64,0.0001,,,1.0,,,0.899,0.8998,0.3429211964830756,331.37623500823975,3,Real
EMNIST_MNIST,MobileNetV2,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.915,0.9108,0.3327262941747904,328.0879702568054,3,Real
EMNIST_ByClass,ResNet18,0.01,Adam,64,0.0001,,,1.0,,,0.646,0.7046,1.3397863321006298,284.5696699619293,3,Real
EMNIST_ByClass,ResNet18,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.664,0.6328,1.4399608969688416,287.0299942493439,3,Real
EMNIST_ByClass,EfficientNetB0,0.01,Adam,64,0.0001,,0.2,1.0,,,0.684,0.716,1.153126947581768,374.3429002761841,3,Real
EMNIST_ByClass,EfficientNetB0,0.001,Adam,64,0.0001,,0.2,1.0,0.1,1.0,0.652,0.6256,1.3811950497329235,370.7579791545868,3,Real
EMNIST_ByClass,MobileNetV2,0.01,Adam,64,0.0001,,,1.0,,,0.609,0.6576,2.04343431442976,328.7092707157135,3,Real
EMNIST_ByClass,MobileNetV2,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.669,0.653,1.306590661406517,329.7688717842102,3,Real
EMNIST_ByMerge,ResNet18,0.01,Adam,64,0.0001,,,1.0,,,0.69,0.7464,1.105243507772684,279.0032796859741,3,Real
EMNIST_ByMerge,ResNet18,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.684,0.6734,1.3502274975180626,280.6129622459412,3,Real
EMNIST_ByMerge,EfficientNetB0,0.01,Adam,64,0.0001,,0.2,1.0,,,0.726,0.7414,0.9884322695434092,374.8561866283417,3,Real
EMNIST_ByMerge,EfficientNetB0,0.001,Adam,64,0.0001,,0.2,1.0,0.1,1.0,0.673,0.6564,1.23475544154644,367.6845862865448,3,Real
EMNIST_ByMerge,MobileNetV2,0.01,Adam,64,0.0001,,,1.0,,,0.679,0.7148,1.2597474567592144,329.4099404811859,3,Real
EMNIST_ByMerge,MobileNetV2,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.681,0.6866,1.1959645748138428,325.55537581443787,3,Real
USPS,ResNet18,0.01,Adam,64,0.0001,,,1.0,,,0.895,0.9522,0.3838622029870748,289.9496212005615,3,Real
USPS,ResNet18,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.909,0.9364,0.3527631536126137,285.417453289032,3,Real
USPS,EfficientNetB0,0.01,Adam,64,0.0001,,0.2,1.0,,,0.92,0.948,0.2642315425910055,371.813339471817,3,Real
USPS,EfficientNetB0,0.001,Adam,64,0.0001,,0.2,1.0,0.1,1.0,0.9,0.9164,0.3620832096785307,371.023558139801,3,Real
USPS,MobileNetV2,0.01,Adam,64,0.0001,,,1.0,,,0.924,0.941,0.2565131955780089,328.18066477775574,3,Real
USPS,MobileNetV2,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.923,0.9374,0.3137110518291592,326.52163529396057,3,Real
QMNIST,ResNet18,0.01,Adam,64,0.0001,,,1.0,,,0.93,0.9256,0.2181317061185836,278.1388897895813,3,Real
QMNIST,ResNet18,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.912,0.9082,0.3901558928191662,280.04643273353577,3,Real
QMNIST,EfficientNetB0,0.01,Adam,64,0.0001,,0.2,1.0,,,0.947,0.911,0.1827323564793914,364.5392417907715,3,Real
QMNIST,EfficientNetB0,0.001,Adam,64,0.0001,,0.2,1.0,0.1,1.0,0.923,0.8838,0.3408354958519339,359.0718278884888,3,Real
QMNIST,MobileNetV2,0.01,Adam,64,0.0001,,,1.0,,,0.878,0.8974,0.3545096348971128,324.8039515018463,3,Real
QMNIST,MobileNetV2,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.917,0.9124,0.3288241326808929,324.535231590271,3,Real
RenderedSST2,ResNet18,0.01,Adam,64,0.0001,,,1.0,,,0.561,0.5374,0.7103369235992432,296.11081528663635,3,Real
RenderedSST2,ResNet18,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.539,0.5286,0.6987522356212139,292.200754404068,3,Real
RenderedSST2,EfficientNetB0,0.01,Adam,64,0.0001,,0.2,1.0,,,0.512,0.5364,1.0572346821427343,379.5968453884125,3,Real
RenderedSST2,EfficientNetB0,0.001,Adam,64,0.0001,,0.2,1.0,0.1,1.0,0.515,0.545,0.7031995020806789,374.5099186897278,3,Real
RenderedSST2,MobileNetV2,0.01,Adam,64,0.0001,,,1.0,,,0.49,0.5192,1.29083114489913,332.22857451438904,3,Real
RenderedSST2,MobileNetV2,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.517,0.5378,0.6967363283038139,334.46642684936523,3,Real
CIFAR10,ResNet18,0.01,Adam,64,0.0001,,,1.0,,,0.755,0.7372,0.7444284074008465,278.5486686229706,3,Real
CIFAR10,ResNet18,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.744,0.7258,0.8318469747900963,283.2750062942505,3,Real
CIFAR10,EfficientNetB0,0.01,Adam,64,0.0001,,0.2,1.0,,,0.76,0.7462,0.7722337022423744,366.7295627593994,3,Real
CIFAR10,EfficientNetB0,0.001,Adam,64,0.0001,,0.2,1.0,0.1,1.0,0.764,0.7194,0.7998821623623371,368.5701923370361,3,Real
CIFAR10,MobileNetV2,0.01,Adam,64,0.0001,,,1.0,,,0.69,0.674,1.0055967569351196,312.18521666526794,3,Real
CIFAR10,MobileNetV2,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.75,0.6984,0.7969655133783817,316.4374928474426,3,Real
CIFAR100,ResNet18,0.01,Adam,64,0.0001,,,1.0,,,0.334,0.5652,3.1474107056856155,269.5194182395935,3,Real
CIFAR100,ResNet18,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.375,0.4642,2.610864371061325,274.2640461921692,3,Real
CIFAR100,EfficientNetB0,0.01,Adam,64,0.0001,,0.2,1.0,,,0.409,0.6934,2.5399672985076904,336.37817764282227,3,Real
CIFAR100,EfficientNetB0,0.001,Adam,64,0.0001,,0.2,1.0,0.1,1.0,0.448,0.557,2.483228102326393,331.5075364112854,3,Real
CIFAR100,MobileNetV2,0.01,Adam,64,0.0001,,,1.0,,,0.348,0.4968,3.644740864634514,290.14453196525574,3,Real
CIFAR100,MobileNetV2,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.387,0.49,2.476654812693596,291.27601051330566,3,Real
Flowers102,ResNet18,0.01,Adam,64,0.0001,,,1.0,,,0.751,0.918627450980392,0.9422684647142888,75.44091367721558,3,Real
Flowers102,ResNet18,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.597,0.6519607843137255,2.872318223118782,76.2627592086792,3,Real
Flowers102,EfficientNetB0,0.01,Adam,64,0.0001,,0.2,1.0,,,0.813,0.996078431372549,0.7406357675790787,93.07480669021606,3,Real
Flowers102,EfficientNetB0,0.001,Adam,64,0.0001,,0.2,1.0,0.1,1.0,0.736,0.9098039215686274,2.5941701233387,90.5606768131256,3,Real
Flowers102,MobileNetV2,0.01,Adam,64,0.0001,,,1.0,,,0.736,0.9176470588235294,1.049941960722208,82.64733505249023,3,Real
Flowers102,MobileNetV2,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.78,0.865686274509804,2.005395449697972,83.51826310157776,3,Real
DTD,ResNet18,0.01,Adam,64,0.0001,,,1.0,,,0.524,0.7319148936170212,1.8544473350048063,120.8355221748352,3,Real
DTD,ResNet18,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.51,0.5925531914893617,1.9203600957989693,126.74311590194702,3,Real
DTD,EfficientNetB0,0.01,Adam,64,0.0001,,0.2,1.0,,,0.533,0.8132978723404255,1.9060267135500908,147.82878065109253,3,Real
DTD,EfficientNetB0,0.001,Adam,64,0.0001,,0.2,1.0,0.1,1.0,0.544,0.6351063829787233,1.982277736067772,143.58498573303223,3,Real
DTD,MobileNetV2,0.01,Adam,64,0.0001,,,1.0,,,0.523,0.7207446808510638,2.2823121696710587,120.04676985740662,3,Real
DTD,MobileNetV2,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.584,0.6648936170212766,1.6316656917333603,123.94925546646118,3,Real
EuroSAT,ResNet18,0.01,Adam,64,0.0001,,,1.0,,,0.909,0.8832,0.2743987562134862,272.1607577800751,3,Real
EuroSAT,ResNet18,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.889,0.8796,0.3939726678654551,271.2078950405121,3,Real
EuroSAT,EfficientNetB0,0.01,Adam,64,0.0001,,0.2,1.0,,,0.899,0.892,0.3421705178916454,342.6530785560608,3,Real
EuroSAT,EfficientNetB0,0.001,Adam,64,0.0001,,0.2,1.0,0.1,1.0,0.894,0.8728,0.3696830235421657,337.3603301048279,3,Real
EuroSAT,MobileNetV2,0.01,Adam,64,0.0001,,,1.0,,,0.898,0.8798,0.3574949214234948,294.6209270954132,3,Real
EuroSAT,MobileNetV2,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.916,0.8924,0.3025865443050861,286.79719138145447,3,Real
MNIST,ResNet18,0.011871541835112801,Adam,56,0.00012507016275830452,,,1.0,,,0.8376000000000001,0.8591489361702128,0.665441569685936,276.1905765533447,3,Synthetic
MNIST,ResNet18,0.00922310171386743,Adam,56,0.0001725370453618305,,,1.0,,,0.8376,0.8591489361702126,0.665441569685936,276.1905765533447,3,Synthetic
MNIST,ResNet18,0.008503130540766608,Adam,72,8.520945358860303e-05,,,0.9301405369644615,,,0.8376,0.8591489361702128,0.6654415696859359,276.1905765533447,3,Synthetic
MNIST,ResNet18,0.010871622031503683,Adam,32,5.511410501708642e-05,,,0.9156568706138541,,,0.8376,0.8591489361702127,0.6654415696859359,276.1905765533447,3,Synthetic
MNIST,ResNet18,0.0070481532142594484,Adam,64,7.307971129229776e-05,,,0.7881544447997063,,,0.8376,0.8591489361702127,0.6654415696859359,276.1905765533447,3,Synthetic
MNIST,ResNet18,0.0016590037158726147,Adam,56,0.00010235985570491528,,0.07862877720679816,0.9183425913212226,0.101663838845648,0.8273509633866546,0.7339999999999999,0.7900399999999999,0.9444338157773017,292.74706983566284,3,Synthetic
MNIST,ResNet18,0.001138556917263298,Adam,48,9.041622523567516e-05,,0.09097440081655905,1.0,0.099797541628931,0.841343360656615,0.7340000000000001,0.7900400000000001,0.9444338157773019,292.74706983566284,3,Synthetic
MNIST,ResNet18,0.0013285618586868567,Adam,40,0.00010748057311598895,,0.07060494814180338,0.8007720926652354,0.10295291853803686,1.1107699869993115,0.7340000000000001,0.7900400000000001,0.9444338157773018,292.74706983566284,3,Synthetic
MNIST,ResNet18,0.001060975329724004,Adam,56,9.01228422752579e-05,,0.0778221701444886,0.8920233687407937,0.0930904184356032,1.1585683339328374,0.734,0.79004,0.9444338157773017,292.74706983566284,3,Synthetic
MNIST,ResNet18,0.001126011398520296,Adam,32,0.00011184408727006881,,0.09422376579375526,0.8984616999541062,0.10917514433261302,1.1546499283743927,0.734,0.7900400000000001,0.9444338157773019,292.74706983566284,3,Synthetic
MNIST,EfficientNetB0,0.013794057189170044,Adam,48,8.987079384648545e-05,,0.20993790294210693,1.0,,,0.7179999999999999,0.74,0.8328956428449601,377.2636637687683,3,Synthetic
MNIST,EfficientNetB0,0.008474690932353398,Adam,56,6.824175515220008e-05,,0.16411380127757988,1.0,,,0.718,0.74,0.83289564284496,377.2636637687683,3,Synthetic
MNIST,EfficientNetB0,0.015974821297888835,Adam,56,0.0001414263617045339,,0.21084908075142902,0.9032320368092314,,,0.718,0.7399999999999999,0.8328956428449601,377.2636637687683,3,Synthetic
MNIST,EfficientNetB0,0.011329463515014538,Adam,88,9.877033537689128e-05,,0.24693930967442018,0.6070382343865384,,,0.7180000000000001,0.7399999999999999,0.83289564284496,377.2636637687683,3,Synthetic
MNIST,EfficientNetB0,0.013282669908454642,Adam,64,9.018811952457364e-05,,0.2027528232960651,0.7018646628098661,,,0.7180000000000001,0.74,0.8328956428449601,377.2636637687683,3,Synthetic
MNIST,EfficientNetB0,0.0009269349558726853,Adam,64,0.00016660366119548403,,0.18445189345179058,0.8787259595660218,0.09247364434623195,1.1373103176553112,0.6948,0.70772,0.8921602657064795,369.2882726192474,3,Synthetic
MNIST,EfficientNetB0,0.001120244215018199,Adam,48,0.000119396212221647,,0.20291232648044122,1.0,0.08946920359183971,0.9508506780103347,0.6948,0.70772,0.8921602657064795,369.2882726192474,3,Synthetic
MNIST,EfficientNetB0,0.000873340942421631,Adam,40,0.0001107690614291712,,0.2078316581653967,1.0,0.0964811929993728,0.7876943886924379,0.6948,0.70772,0.8921602657064795,369.2882726192474,3,Synthetic
MNIST,EfficientNetB0,0.0008647752369894965,Adam,56,7.579819152874963e-05,,0.19516142865001973,1.0,0.12829278851815795,1.0261866719247759,0.6948,0.70772,0.8921602657064794,369.2882726192474,3,Synthetic
MNIST,EfficientNetB0,0.0010930313087355792,Adam,56,5.1544787318407965e-05,,0.1992045837365235,1.0,0.1369486316872793,0.9711458552828316,0.6948,0.70772,0.8921602657064795,369.2882726192474,3,Synthetic
MNIST,MobileNetV2,0.011097677645334404,Adam,56,6.6788044621815e-05,,,1.0,,,0.8376,0.8591489361702127,0.6654415696859359,324.0058455467224,3,Synthetic
MNIST,MobileNetV2,0.012965520591536894,Adam,72,7.304530655795838e-05,,,1.0,,,0.8376,0.8591489361702127,0.6654415696859358,324.0058455467224,3,Synthetic
MNIST,MobileNetV2,0.00616200923593334,Adam,72,0.00021309280107325104,,,0.8514195512303968,,,0.8376000000000001,0.8591489361702128,0.6654415696859359,324.0058455467224,3,Synthetic
MNIST,MobileNetV2,0.008223474402240723,Adam,64,8.403865365912352e-05,,,0.7674004853400801,,,0.8376000000000001,0.8591489361702127,0.6654415696859358,324.0058455467224,3,Synthetic
MNIST,MobileNetV2,0.010239634396958913,Adam,40,0.00011777125387730088,,,0.8620863648649295,,,0.8376,0.8591489361702128,0.6654415696859359,324.0058455467224,3,Synthetic
MNIST,MobileNetV2,0.0017080091942748537,Adam,48,8.947283673531652e-05,,0.11220275826054506,0.8153703525349068,0.10341189901906195,1.1960714131423642,0.7076000000000001,0.7516172549019607,1.169455340690911,330.69712805747986,3,Synthetic
MNIST,MobileNetV2,0.0005739546228988039,Adam,64,0.00010939131761597674,,0.11172734307665966,0.8144573933682877,0.08019315080373586,1.0782912348425346,0.7076000000000001,0.7516172549019609,1.169455340690911,330.69712805747986,3,Synthetic
MNIST,MobileNetV2,0.0011080203695374307,Adam,64,0.00011271135367055024,,0.08979962917632264,1.0,0.10439608709948023,0.8928472872960448,0.7340000000000001,0.79004,0.9444338157773018,330.69712805747986,3,Synthetic
MNIST,MobileNetV2,0.0019048738509980943,Adam,64,6.626815962838803e-05,,0.10984830412950745,0.8537977494659018,0.11180626905613679,1.1737893368511105,0.7076,0.7516172549019609,1.169455340690911,330.69712805747986,3,Synthetic
MNIST,MobileNetV2,0.0007531781208754052,Adam,72,0.00011532343596132461,,0.11233090239991736,1.0,0.09631917825995695,0.8869395753463766,0.7076,0.7516172549019609,1.169455340690911,330.69712805747986,3,Synthetic
FashionMNIST,ResNet18,0.007354833404457112,Adam,48,9.737224381874417e-05,,,1.0,,,0.8376000000000001,0.8591489361702128,0.665441569685936,290.3219215869904,3,Synthetic
FashionMNIST,ResNet18,0.011002810272419275,Adam,72,0.0001004501797141976,,,1.0,,,0.8376,0.8591489361702127,0.665441569685936,290.3219215869904,3,Synthetic
FashionMNIST,ResNet18,0.00912644160543959,Adam,104,0.00012412250633428402,,,0.8714263665375577,,,0.8376,0.8591489361702128,0.6654415696859359,290.3219215869904,3,Synthetic
FashionMNIST,ResNet18,0.0069082195215903345,Adam,64,9.257229198371646e-05,,,1.0,,,0.8376000000000001,0.8591489361702128,0.665441569685936,290.3219215869904,3,Synthetic
FashionMNIST,ResNet18,0.01177567058249588,Adam,56,7.46416749880669e-05,,,0.7727729162971203,,,0.8376000000000001,0.8591489361702127,0.6654415696859359,290.3219215869904,3,Synthetic
FashionMNIST,ResNet18,0.0008570828412123409,Adam,72,0.00010767490466546296,,0.0813139183193202,1.0,0.10577976069593256,0.8674213845698301,0.7339999999999999,0.79004,0.9444338157773017,302.6678500175476,3,Synthetic
FashionMNIST,ResNet18,0.0010545296842434093,Adam,64,6.738370550200922e-05,,0.10536681040522425,1.0,0.11624576864762916,1.1580703078052355,0.7076000000000001,0.7516172549019609,1.169455340690911,302.6678500175476,3,Synthetic
FashionMNIST,ResNet18,0.0006213690796339497,Adam,48,0.00011946913640880094,,0.10770678926368314,1.0,0.1577909723598208,1.085633576603975,0.7076,0.7516172549019607,1.169455340690911,302.6678500175476,3,Synthetic
FashionMNIST,ResNet18,0.001480249385473835,Adam,72,0.0001252302137873496,,0.09527096133039482,1.0,0.08840762178193642,0.9644772089889987,0.734,0.7900400000000001,0.9444338157773019,302.6678500175476,3,Synthetic
FashionMNIST,ResNet18,0.0008456594595572153,Adam,64,0.00022243299999391054,,0.07199102211112379,1.0,0.07580926193215523,0.9292102201315849,0.7339999999999999,0.79004,0.9444338157773018,302.6678500175476,3,Synthetic
FashionMNIST,EfficientNetB0,0.014566076747522878,Adam,64,6.891896037521267e-05,,0.17854088872220097,1.0,,,0.7180000000000002,0.74,0.8328956428449601,376.657919883728,3,Synthetic
FashionMNIST,EfficientNetB0,0.0077704292330476,Adam,64,0.00010158654973380805,,0.1804519895718255,1.0,,,0.718,0.74,0.8328956428449601,376.657919883728,3,Synthetic
FashionMNIST,EfficientNetB0,0.012447664023071094,Adam,24,0.00010665189624608344,,0.18014640605694837,1.0,,,0.7179999999999999,0.74,0.8328956428449601,376.657919883728,3,Synthetic
FashionMNIST,EfficientNetB0,0.007605397079220629,Adam,56,0.00011905524309703903,,0.22597265582510365,0.8199555389416335,,,0.718,0.7400000000000001,0.8328956428449601,376.657919883728,3,Synthetic
FashionMNIST,EfficientNetB0,0.008908915074206079,Adam,56,7.979966155061217e-05,,0.2529636272084329,1.0,,,0.7179999999999999,0.74,0.8328956428449601,376.657919883728,3,Synthetic
FashionMNIST,EfficientNetB0,0.0006469451334230257,Adam,72,0.0002081248145377756,,0.2309739578165344,0.772094505106898,0.09273648890700624,1.1900366723779934,0.6948,0.70772,0.8921602657064795,372.97177720069885,3,Synthetic
FashionMNIST,EfficientNetB0,0.000783158423694675,Adam,64,0.00013067591276563181,,0.17219208585265752,0.99107119659073,0.05138098989896392,0.8463418537998565,0.6948000000000001,0.70772,0.8921602657064795,372.97177720069885,3,Synthetic
FashionMNIST,EfficientNetB0,0.0009164627566235678,Adam,40,0.000175736563618925,,0.15709575866118103,0.9339933269954525,0.10196110865929138,1.2161909933599173,0.6948000000000001,0.7077200000000001,0.8921602657064795,372.97177720069885,3,Synthetic
FashionMNIST,EfficientNetB0,0.000609004807183136,Adam,80,0.00010035416308695037,,0.17055474046856148,1.0,0.10298589543360205,0.9099674684261808,0.6948000000000001,0.7077200000000001,0.8921602657064797,372.97177720069885,3,Synthetic
FashionMNIST,EfficientNetB0,0.0010244018548934638,Adam,56,0.00010399873005252028,,0.21986392023563142,1.0,0.08143276751759727,1.31995500619844,0.6948,0.70772,0.8921602657064794,372.97177720069885,3,Synthetic
FashionMNIST,MobileNetV2,0.005095500334254748,Adam,56,0.0001225315748228684,,,1.0,,,0.8375999999999998,0.8591489361702127,0.6654415696859359,326.4417746067047,3,Synthetic
FashionMNIST,MobileNetV2,0.008064827383860634,Adam,56,8.43432427010853e-05,,,0.9115952864583683,,,0.8376,0.8591489361702126,0.6654415696859359,326.4417746067047,3,Synthetic
FashionMNIST,MobileNetV2,0.013410356365253513,Adam,64,7.871617725420992e-05,,,1.0,,,0.8376,0.8591489361702127,0.665441569685936,326.4417746067047,3,Synthetic
FashionMNIST,MobileNetV2,0.011119747673936751,Adam,72,0.0001242924533919852,,,0.8756507483616891,,,0.8376,0.8591489361702127,0.6654415696859359,326.4417746067047,3,Synthetic
FashionMNIST,MobileNetV2,0.008240865922760687,Adam,72,0.0001234684437404686,,,0.9968647609053778,,,0.8376000000000001,0.8591489361702128,0.665441569685936,326.4417746067047,3,Synthetic
FashionMNIST,MobileNetV2,0.0010413558256074085,Adam,80,8.152010417177196e-05,,0.10820646071755058,0.9696711021349159,0.0967347819515917,1.1648165277980784,0.7075999999999999,0.7516172549019606,1.169455340690911,328.2649004459381,3,Synthetic
FashionMNIST,MobileNetV2,0.0013298801256800808,Adam,72,0.00015697202300887612,,0.10031505762449139,1.0,0.09534599865109816,1.0486249528732663,0.7076,0.7516172549019606,1.1694553406909107,328.2649004459381,3,Synthetic
FashionMNIST,MobileNetV2,0.0009560455519892536,Adam,64,0.00012282138434894073,,0.08772668975149792,1.0,0.08490973927750448,0.8178717080818402,0.734,0.7900400000000001,0.9444338157773017,328.2649004459381,3,Synthetic
FashionMNIST,MobileNetV2,0.0014918208562025876,Adam,72,0.00012405618080849062,,0.1094251826389642,0.9981629840729628,0.08654118442771253,1.011370683729059,0.7076,0.7516172549019607,1.1694553406909112,328.2649004459381,3,Synthetic
FashionMNIST,MobileNetV2,0.000791454197449795,Adam,72,9.50477470455175e-05,,0.08761754204811234,0.951792123752051,0.10619397181413437,0.9154413170794038,0.7340000000000001,0.79004,0.9444338157773018,328.2649004459381,3,Synthetic
KMNIST,ResNet18,0.007527780462728935,Adam,64,0.00010882919580555184,,,0.9239585236943305,,,0.8376,0.8591489361702127,0.665441569685936,286.6937589645386,3,Synthetic
KMNIST,ResNet18,0.008498538740899028,Adam,64,6.0643992179882716e-05,,,0.7888804338435167,,,0.8376,0.8591489361702128,0.6654415696859359,286.6937589645386,3,Synthetic
KMNIST,ResNet18,0.007802492702564788,Adam,56,0.00011133624479994214,,,1.0,,,0.8376000000000001,0.8591489361702128,0.6654415696859359,286.6937589645386,3,Synthetic
KMNIST,ResNet18,0.013447728976780846,Adam,56,9.934545498685972e-05,,,0.8496205953043287,,,0.8376,0.8591489361702127,0.6654415696859359,286.6937589645386,3,Synthetic
KMNIST,ResNet18,0.009936261987544005,Adam,56,0.00011179135452799586,,,0.8759153584671515,,,0.8376000000000001,0.8591489361702126,0.6654415696859359,286.6937589645386,3,Synthetic
